2019-02-27 00:34:39.664 [main] INFO  cn.cumtmaker.maker.MakerApplication - Started MakerApplication in 6.571 seconds (JVM running for 9.272)
2019-02-27 00:35:22.338 [http-nio-8090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-02-27 00:35:22.338 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-02-27 00:35:22.347 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2019-02-27 00:35:22.461 [http-nio-8090-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-02-27 00:35:22.596 [http-nio-8090-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-02-27 00:35:22.641 [http-nio-8090-exec-1] INFO  cn.cumtmaker.maker.security.MyUserDetailsService - 用户名为test的USER用户尝试登录
2019-02-27 00:35:22.726 [http-nio-8090-exec-1] INFO  c.c.m.s.a.authenticationSuccessHandler - 用户test登录成功
2019-02-27 00:35:23.388 [http-nio-8090-exec-1] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:1】
2019-02-27 00:38:47.865 [http-nio-8090-exec-7] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:2】
2019-02-27 00:38:53.512 [http-nio-8090-exec-10] INFO  cn.cumtmaker.maker.security.MyUserDetailsService - 用户名为test的USER用户尝试登录
2019-02-27 00:38:53.597 [http-nio-8090-exec-10] INFO  c.c.m.s.a.authenticationSuccessHandler - 用户test登录成功
2019-02-27 01:03:05.937 [main] INFO  cn.cumtmaker.maker.MakerApplication - Starting MakerApplication on LAPTOP-UM137VG1 with PID 16124 (D:\github\maker\backend\maker\out\production\classes started by lenovo in D:\github\maker\backend\maker)
2019-02-27 01:03:05.940 [main] INFO  cn.cumtmaker.maker.MakerApplication - No active profile set, falling back to default profiles: default
2019-02-27 01:03:06.958 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$846e707b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-27 01:03:07.193 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2019-02-27 01:03:07.203 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2019-02-27 01:03:07.209 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-02-27 01:03:07.209 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-02-27 01:03:07.214 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.17] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.18]
2019-02-27 01:03:07.215 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.17] using APR version [1.6.3].
2019-02-27 01:03:07.215 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-02-27 01:03:07.215 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-02-27 01:03:08.257 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2o  27 Mar 2018]
2019-02-27 01:03:08.366 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-02-27 01:03:08.366 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2357 ms
2019-02-27 01:03:09.242 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-02-27 01:03:09.325 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-02-27 01:03:09.472 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@205159dc, org.springframework.security.web.context.SecurityContextPersistenceFilter@40f9f60d, org.springframework.security.web.header.HeaderWriterFilter@1124910c, org.springframework.security.web.authentication.logout.LogoutFilter@5f935d49, cn.cumtmaker.maker.filter.ValidateCodeFilter@43c0c13a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3321291a, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7893c715, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@731db93f, cn.cumtmaker.maker.filter.JWTAuthenticationFilter@67941d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@628ba266, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c4d1c7b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ad2b274, org.springframework.security.web.session.SessionManagementFilter@4a9869a8, org.springframework.security.web.access.ExceptionTranslationFilter@7fd751de, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3b4bd341]
2019-02-27 01:03:09.522 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-02-27 01:03:09.535 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-02-27 01:03:09.548 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-02-27 01:03:09.804 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: insertOrderUsingPOST_1
2019-02-27 01:03:09.826 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_1
2019-02-27 01:03:09.831 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_2
2019-02-27 01:03:09.860 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: resetPasswordUsingPOST_1
2019-02-27 01:03:09.862 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setMakerSignUpInfoUsingPOST_1
2019-02-27 01:03:09.864 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setUserSignUpInfoUsingPOST_1
2019-02-27 01:03:09.865 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: signUpUsingPOST_1
2019-02-27 01:03:09.867 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: updateUserInfoUsingPOST_1
2019-02-27 01:03:09.885 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2019-02-27 01:03:09.893 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-02-27 01:03:09.905 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2019-02-27 01:03:09.907 [main] INFO  cn.cumtmaker.maker.MakerApplication - Started MakerApplication in 4.573 seconds (JVM running for 5.596)
2019-02-27 01:03:13.710 [http-nio-8090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-02-27 01:03:13.710 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-02-27 01:03:13.719 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2019-02-27 01:03:13.755 [http-nio-8090-exec-1] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:1】
2019-02-27 01:03:20.399 [http-nio-8090-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-02-27 01:03:20.485 [http-nio-8090-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-02-27 01:03:20.515 [http-nio-8090-exec-3] INFO  cn.cumtmaker.maker.security.MyUserDetailsService - 用户名为test的USER用户尝试登录
2019-02-27 01:03:20.593 [http-nio-8090-exec-3] INFO  c.c.m.s.a.authenticationSuccessHandler - 用户test登录成功
2019-02-27 01:04:12.070 [main] INFO  cn.cumtmaker.maker.MakerApplication - Starting MakerApplication on LAPTOP-UM137VG1 with PID 10364 (D:\github\maker\backend\maker\out\production\classes started by lenovo in D:\github\maker\backend\maker)
2019-02-27 01:04:12.075 [main] INFO  cn.cumtmaker.maker.MakerApplication - No active profile set, falling back to default profiles: default
2019-02-27 01:04:13.181 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4d2025f6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-27 01:04:13.423 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2019-02-27 01:04:13.432 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2019-02-27 01:04:13.439 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-02-27 01:04:13.439 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-02-27 01:04:13.445 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.17] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.18]
2019-02-27 01:04:13.445 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.17] using APR version [1.6.3].
2019-02-27 01:04:13.445 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-02-27 01:04:13.445 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-02-27 01:04:14.493 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2o  27 Mar 2018]
2019-02-27 01:04:14.590 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-02-27 01:04:14.590 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2456 ms
2019-02-27 01:04:15.411 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-02-27 01:04:15.492 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-02-27 01:04:15.640 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@320ff86f, org.springframework.security.web.context.SecurityContextPersistenceFilter@153cfd86, org.springframework.security.web.header.HeaderWriterFilter@1bfa5a13, org.springframework.security.web.authentication.logout.LogoutFilter@13cc31ae, cn.cumtmaker.maker.filter.ValidateCodeFilter@192b472d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5bb7a59, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@18e6b72b, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@84f51d9, cn.cumtmaker.maker.filter.JWTAuthenticationFilter@45b96e4c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@595fed99, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@176333ee, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8383a14, org.springframework.security.web.session.SessionManagementFilter@1da75dde, org.springframework.security.web.access.ExceptionTranslationFilter@690df641, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@f9b8129]
2019-02-27 01:04:15.684 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-02-27 01:04:15.696 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-02-27 01:04:15.709 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-02-27 01:04:15.930 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: insertOrderUsingPOST_1
2019-02-27 01:04:15.955 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_1
2019-02-27 01:04:15.960 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_2
2019-02-27 01:04:15.996 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: resetPasswordUsingPOST_1
2019-02-27 01:04:15.998 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setMakerSignUpInfoUsingPOST_1
2019-02-27 01:04:16.001 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setUserSignUpInfoUsingPOST_1
2019-02-27 01:04:16.004 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: signUpUsingPOST_1
2019-02-27 01:04:16.006 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: updateUserInfoUsingPOST_1
2019-02-27 01:04:16.031 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2019-02-27 01:04:16.040 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
